customer_id,risk_score,risk_label,action,current_limit,recommended_limit,current_apr,recommended_apr,opportunity_score,opportunity_rank
C046,0.0001,LOW,EXPAND,700.0,804.99,0.18,0.16,17.2679,23
C047,0.0001,LOW,EXPAND,500.0,574.99,0.18,0.16,25.4925,8
C048,0.956552,MEDIUM,MONITOR,850.0,850.0,0.18,0.18,0.4288,74
C049,0.039522,LOW,EXPAND,900.0,1029.66,0.18,0.16,11.1686,40
C050,0.076126,LOW,EXPAND,850.0,967.79,0.18,0.16,4.2622,67
C051,0.972117,MEDIUM,MONITOR,900.0,900.0,0.18,0.18,0.2893,80
C052,0.9999,HIGH,RESTRICT,700.0,560.01,0.18,0.21,0.0009,97
C053,0.021609,LOW,EXPAND,800.0,917.41,0.18,0.16,5.5027,62
C054,0.000405,LOW,EXPAND,800.0,919.95,0.18,0.16,19.8297,16
C055,0.923606,LOW,EXPAND,900.0,1024.69,0.18,0.16,0.3586,77
C056,0.0001,LOW,EXPAND,700.0,804.99,0.18,0.16,5.9694,59
C057,0.0001,LOW,EXPAND,600.0,689.99,0.18,0.16,19.3791,17
C058,0.893045,LOW,EXPAND,850.0,963.86,0.18,0.16,1.6729,69
C059,0.9999,HIGH,RESTRICT,1000.0,800.02,0.18,0.21,0.001,94
C060,0.018385,LOW,EXPAND,500.0,573.62,0.18,0.16,28.9939,3
C061,0.998484,MEDIUM,MONITOR,700.0,700.0,0.18,0.18,0.0111,84
C062,0.0001,LOW,EXPAND,850.0,977.49,0.18,0.16,14.4439,28
C063,0.0001,LOW,EXPAND,700.0,804.99,0.18,0.16,23.3928,9
C064,0.999829,MEDIUM,MONITOR,1000.0,1000.0,0.18,0.18,0.001,95
C065,0.9999,HIGH,RESTRICT,500.0,400.01,0.18,0.21,0.0006,99
C066,0.0001,LOW,EXPAND,750.0,862.49,0.18,0.16,7.2709,54
C067,0.04319,LOW,EXPAND,800.0,914.82,0.18,0.16,7.5529,53
C068,0.0001,LOW,EXPAND,500.0,574.99,0.18,0.16,8.4063,49
C069,0.002799,LOW,EXPAND,900.0,1034.62,0.18,0.16,12.4921,34
C070,0.060734,LOW,EXPAND,800.0,912.71,0.18,0.16,15.5981,26
C071,0.0001,LOW,EXPAND,600.0,689.99,0.18,0.16,20.5138,13
C072,0.0001,LOW,EXPAND,750.0,862.49,0.18,0.16,18.2765,20
C073,0.070905,LOW,EXPAND,700.0,797.55,0.18,0.16,5.3599,63
C074,0.9999,HIGH,RESTRICT,800.0,640.02,0.18,0.21,0.0018,87
C075,0.055521,LOW,EXPAND,1000.0,1141.67,0.18,0.16,11.2724,37
C076,0.0001,LOW,EXPAND,650.0,747.49,0.18,0.16,13.3673,32
C077,0.9999,HIGH,RESTRICT,800.0,640.02,0.18,0.21,0.0012,93
C078,0.9999,HIGH,RESTRICT,550.0,440.01,0.18,0.21,0.0019,86
C079,0.9999,HIGH,RESTRICT,750.0,600.01,0.18,0.21,0.0015,89
C080,0.00663,LOW,EXPAND,1000.0,1149.01,0.18,0.16,10.6055,43
C081,0.974648,MEDIUM,MONITOR,550.0,550.0,0.18,0.18,0.2548,81
C082,0.0001,LOW,EXPAND,500.0,574.99,0.18,0.16,29.1727,2
C083,0.0001,LOW,EXPAND,550.0,632.49,0.18,0.16,30.398,1
C084,0.04798,LOW,EXPAND,550.0,628.54,0.18,0.16,5.6551,60
C085,0.0001,LOW,EXPAND,600.0,689.99,0.18,0.16,14.3929,29
C086,0.924931,MEDIUM,MONITOR,750.0,750.0,0.18,0.18,1.3561,70
C087,0.0001,LOW,EXPAND,800.0,919.99,0.18,0.16,17.8521,22
C088,0.913623,LOW,EXPAND,850.0,966.49,0.18,0.16,0.7447,71
C089,0.9999,HIGH,RESTRICT,600.0,480.01,0.18,0.21,0.0004,100
C090,0.0001,LOW,EXPAND,700.0,804.99,0.18,0.16,6.1349,58
C091,0.015005,LOW,EXPAND,1000.0,1147.75,0.18,0.16,10.7907,42
C092,0.006829,LOW,EXPAND,750.0,861.73,0.18,0.16,18.5515,18
C093,0.0001,LOW,EXPAND,850.0,977.49,0.18,0.16,7.0404,56
C094,0.9999,HIGH,RESTRICT,850.0,680.02,0.18,0.21,0.0014,92
C095,0.008222,LOW,EXPAND,900.0,1033.89,0.18,0.16,7.8913,51
C096,0.0001,LOW,EXPAND,750.0,862.49,0.18,0.16,19.9927,14
C097,0.982777,MEDIUM,MONITOR,500.0,500.0,0.18,0.18,0.4102,76
C098,0.021255,LOW,EXPAND,650.0,745.43,0.18,0.16,10.3798,45
C099,0.9999,HIGH,RESTRICT,650.0,520.01,0.18,0.21,0.0015,90
C100,0.084841,LOW,EXPAND,900.0,1023.55,0.18,0.16,10.1683,47
